tag,name,latitude,longitude,county,address,,
美食,王家湾羊肉馆,36.88174509,109.3178786,安塞区,陕西省延安市安塞区S206,,
美食,清涧粉汤烙饼一绝,36.86247071,109.327379,安塞区,延安市安塞区真武洞镇富民街234号,,
美食,安双喜羊肉馆,36.87806627,109.3185911,安塞区,陕西省延安市安塞区S206(慧泽宾馆一楼),,
美食,安塞莲花鸡(安塞店),36.88438873,109.319319,安塞区,陕西省延安市安塞区实验幼儿园(206省道东),,
美食,成都府自助火锅,36.85739888,109.3302003,安塞区,陕西省延安市安塞区福源小区B区二楼商铺,,
美食,溢香驴肉,36.85882664,109.3307628,安塞区,延安市安塞区真武街福源花苑,,
美食,兰台大酒店,36.86535623,109.3241636,安塞区,陕西省延安市安塞区金明路38号,,
美食,川蜀饭店,36.87770372,109.3190262,安塞区,陕西省延安市安塞区佳源商务宾馆(206省道东),,
美食,九洲八拖二火锅(安塞店),36.85743883,109.3303099,安塞区,陕西省延安市安塞区城南福源小区B区鼓乡酒店三楼,,
美食,地椒羊肉,36.85830789,109.3296324,安塞区,陕西省延安市安塞区S206,,
美食,川府饭店(真武洞街店),36.86246324,109.3319254,安塞区,延安市安塞区真武街24号,,
美食,兴龙饭店,36.86384078,109.3250159,安塞区,二道街邮政隔壁,,
美食,招安全驴宴,36.85740598,109.3310955,安塞区,延安市安塞区包茂高速公路福源小区b区商铺,,
美食,胖胖串串,36.87167172,109.3198278,安塞区,延安市安塞区人民法院对面滴水沟小区门面房,,
美食,川天椒冒菜,36.86388468,109.3263995,安塞区,陕西省延安市安塞区龙凤路033号,,
美食,小赵烤肉砂锅王,36.8665125,109.322576,安塞区,延安市安塞区富民街252号,,
美食,鱼你在一起(延安安塞店),36.8624872,109.3279058,安塞区,陕西省延安市安塞区富民街4号,,
美食,根虎烤肉,36.8590057,109.3310966,安塞区,延安市安塞区真武洞街道金芙蓉酒店二楼,,
美食,享鼓乡私房味道,36.85885957,109.3308654,安塞区,延安市安塞区真武街金芙蓉酒店,,
美食,辣妹子傻儿鱼(安塞分店),36.87156771,109.3198447,安塞区,区人民法院西南70米(206省道西),,
美食,二道街夜市,36.59704057,109.4884954,宝塔区,延安市宝塔区二道街地下隧道延飞大厦西北侧约30米,,
美食,陕北杂粮食府(北大街店),36.59742338,109.4856084,宝塔区,陕西省延安市宝塔区中心街慧源大厦3层,,
美食,本土味道,36.61423824,109.5182542,宝塔区,宝塔区百米大道世纪华宝小区2楼,,
美食,老村长铁锅炖羊肉(枣园公园店),36.62250469,109.4304456,宝塔区,枣园路枣园公园停车场内,,
美食,延安八大碗(第一分店),36.57200672,109.4809959,宝塔区,陕西省延安市宝塔区南市街道光华路胜利小学隔壁,,
美食,黄土情食府(枣园路店),36.62002961,109.4435904,宝塔区,延安宝塔枣园路风情街C座,,
美食,沙家邦私房菜(中共枣园镇委员会东),36.62607552,109.4279378,宝塔区,延安市宝塔区枣园路干部学院对面,,
美食,裴庄小堂羊肉馆,36.62844791,109.3831849,宝塔区,延安市宝塔区枣园镇裴庄桥头,,
美食,黄河轩食府,36.61676667,109.5291345,宝塔区,陕西省延安市宝塔区永吉路宏泰假日酒店1楼(区法院斜对面),,
美食,李老二麻辣羊蹄,36.59766531,109.4883862,宝塔区,延安市宝塔区二道街地下隧道宝塔区成长幼儿园南侧,,
美食,外婆印象(延安店),36.59443909,109.4897631,宝塔区,宝塔区北大街中心街25号,,
美食,老延安延安菜(宝塔山店),36.59264285,109.4931874,宝塔区,陕西省延安市宝塔区嘉陵路宝塔山售票处口,,
美食,丽森花园酒楼,36.61905236,109.4478977,宝塔区,陕西省延安市宝塔区枣园风情街E-3座(志丹大厦对面),,
美食,吕记炖羊肉,36.61213701,109.5145448,宝塔区,陕西省延安市宝塔区双拥大道103号佳华国际酒店1楼,,
美食,川云酸菜面(德宏店),36.59624017,109.4896088,宝塔区,陕西省延安市宝塔区凤凰山街道中心街高第华苑1层,,
美食,本土味道,36.61842157,109.4477643,宝塔区,延安市宝塔区枣园大道志丹大厦2楼,,
美食,川云酸菜面(锦绣店),36.60780093,109.5109187,宝塔区,陕西省延安市宝塔区百米大道锦绣时光一楼门面房,,
美食,大自然火锅(百米大道店),36.62046064,109.5286256,宝塔区,陕西省延安市宝塔区双拥大道东段景御大厦5楼,,
美食,重庆大队长主题火锅(延安店),36.61103501,109.5150688,宝塔区,迎宾大道中段高第华庭大酒店2层,,
美食,德克士(延安4餐厅),36.56004568,109.4809108,宝塔区,延安市宝塔区柳林路延安汽车南站一层,,
