tag1,tag2,name,latitude,longitude,county,address
美食,中餐厅,成都府自助火锅,36.85739888,109.3302003,安塞区,陕西省延安市安塞区福源小区B区二楼商铺
美食,中餐厅,王家湾羊肉馆,36.88174509,109.3178786,安塞区,陕西省延安市安塞区S206
美食,中餐厅,九洲八拖二火锅(安塞店),36.85743883,109.3303099,安塞区,陕西省延安市安塞区城南福源小区B区鼓乡酒店三楼
美食,中餐厅,川蜀饭店,36.87770372,109.3190262,安塞区,陕西省延安市安塞区佳源商务宾馆(206省道东)
美食,中餐厅,兰台大酒店,36.86535623,109.3241636,安塞区,陕西省延安市安塞区金明路38号
美食,中餐厅,川府饭店(真武洞街店),36.86246324,109.3319254,安塞区,延安市安塞区真武街24号
美食,中餐厅,舌尖王道火锅,36.85948886,109.33154,安塞区,延安市安塞区真武街紫金兰庭商业3楼
美食,中餐厅,溢香驴肉,36.85882664,109.3307628,安塞区,延安市安塞区真武街福源花苑
美食,中餐厅,地椒羊肉,36.85830789,109.3296324,安塞区,陕西省延安市安塞区S206
美食,中餐厅,清涧粉汤烙饼一绝,36.86247071,109.327379,安塞区,延安市安塞区真武洞镇富民街234号
美食,中餐厅,安双喜羊肉馆,36.87806627,109.3185911,安塞区,陕西省延安市安塞区S206(慧泽宾馆一楼)
美食,中餐厅,王家湾兰财羊肉馆,36.8588896,109.3307597,安塞区,延安市安塞区真武洞街道真武洞镇城南金明美地小区对面饕餮鼎尚一楼
美食,中餐厅,安塞莲花鸡(安塞店),36.88438873,109.319319,安塞区,陕西省延安市安塞区实验幼儿园(206省道东)
美食,中餐厅,王二小涮牛肉,36.86281726,109.3253187,安塞区,延安市安塞区龙凤路延安市安塞区幼儿园西南侧约240米
美食,中餐厅,招安全驴宴,36.85740598,109.3310955,安塞区,延安市安塞区包茂高速公路福源小区b区商铺
美食,中餐厅,川味麻辣香锅(立交桥店),36.86663588,109.3234831,安塞区,安塞区大桥路7号
美食,中餐厅,铁锅炖羊肉,36.87213678,109.3196748,安塞区,安塞区61法院对面
美食,中餐厅,马强回味家常菜(延源小区店),36.87387109,109.31929,安塞区,延安市安塞区G210延源小区
美食,中餐厅,兴龙饭店,36.86384078,109.3250159,安塞区,二道街邮政隔壁
美食,中餐厅,川都傻儿鱼,36.87445022,109.3191871,安塞区,延安市安塞区G210延源小区
美食,中餐厅,胖胖串串,36.87167172,109.3198278,安塞区,延安市安塞区人民法院对面滴水沟小区门面房
美食,中餐厅,巴蜀老川菜,36.85880782,109.3302234,安塞区,延安市安塞区真武街福源花苑
美食,中餐厅,小赵烤肉砂锅王,36.8665125,109.322576,安塞区,延安市安塞区富民街252号
美食,中餐厅,延平音乐烤吧,36.8592191,109.3306011,安塞区,206省道福源花苑内
美食,中餐厅,塞上一品,36.8594411,109.3314612,安塞区,延安市安塞区真武街金芙蓉酒店东北侧约40米
美食,中餐厅,鱼你在一起(延安安塞店),36.8624872,109.3279058,安塞区,陕西省延安市安塞区富民街4号
美食,中餐厅,客来聚饭庄,37.13648106,109.2140487,安塞区,延安市安塞区建坪路坪桥镇中心小学东侧约140米
美食,中餐厅,辣妹子傻儿鱼(安塞分店),36.87156771,109.3198447,安塞区,区人民法院西南70米(206省道西)
美食,中餐厅,双喜烤肉招牌菜,36.85884786,109.330343,安塞区,延安市安塞区真武洞镇福源B区饕餮鼎尚一楼
美食,中餐厅,青岛8090后啤酒安塞办事处,36.85613974,109.3333894,安塞区,陕西省延安市安塞区S206
美食,中餐厅,客来聚面庄,36.85798346,109.331158,安塞区,延安市安塞区真武街金明美地西侧约40米
美食,中餐厅,景和酒家,36.88177274,109.3187201,安塞区,延安市安塞区G210景和苑小区
美食,中餐厅,享鼓乡私房味道,36.85885957,109.3308654,安塞区,延安市安塞区真武街金芙蓉酒店
美食,中餐厅,小梅饭庄,36.84838851,109.3313366,安塞区,延安市安塞区G210安塞区职业技术学校东南侧约50米
美食,中餐厅,牛羊肉泡馍,36.87802183,109.3189573,安塞区,安塞区发歌造型隔壁
美食,中餐厅,塞上影苑杜家鸡,36.86551812,109.3261406,安塞区,延安市安塞区真武街福源聚小区西南侧约110米
美食,中餐厅,奇味烤吧,37.29045048,109.1426672,安塞区,延安市安塞区青安路安塞区王家湾乡幼儿园东南侧约140米
美食,中餐厅,小华哥面皮店,36.86306771,109.3267391,安塞区,延安市安塞区富民街延安市安塞区幼儿园西南侧约150米
